t (s),DD (1/s),D3He (1/s),3He3He (1/s)
5.00021768467e-10,1.89614822643e+17,5.99532066541e+16,158769290471.0
5.10021768467e-10,6.11953058839e+17,1.94165232735e+17,548479358562.0
5.20021768467e-10,1.29010407319e+18,3.94789735374e+17,1.21536190014e+12
5.30021768467e-10,1.83702853218e+18,5.90048170487e+17,2.14121057603e+12
5.40021768467e-10,2.55784892399e+18,9.09609919593e+17,4.35769039209e+12
5.50021768467e-10,3.38496383799e+18,1.44605275932e+18,9.14058412865e+12
5.60021768467e-10,4.54569610226e+18,2.32334424326e+18,2.01943413809e+13
5.70021768467e-10,6.18944400669e+18,3.96692785105e+18,4.98142167772e+13
5.80021768467e-10,8.91596057389e+18,7.76157260393e+18,1.68701697864e+14
5.90021768467e-10,1.36953670187e+19,1.73756521739e+19,7.401748879e+14
6.00021768467e-10,2.54989518558e+19,6.76184860303e+19,1.75006860467e+16
6.10021768467e-10,9.12099569797e+19,7.34478960822e+20,7.46981372501e+17
6.20021768467e-10,1.73287945472e+20,1.34599661666e+21,6.64752923615e+17
6.30021768467e-10,2.47570558631e+20,1.64603665294e+21,4.80413600123e+17
6.40021768467e-10,3.20825842669e+20,1.80672714872e+21,3.46439115878e+17
6.50021768467e-10,3.7014579822e+20,1.74790558126e+21,2.36168387826e+17
6.60021768467e-10,4.18124647249e+20,1.61023161281e+21,1.54381977152e+17
6.70021768467e-10,4.60041472057e+20,1.43767813444e+21,1.01000318139e+17
6.80021768467e-10,5.07473047031e+20,1.47904602542e+21,8.58114539559e+16
6.90021768467e-10,4.95499902749e+20,1.40286551804e+21,7.68730117836e+16
7.00021768467e-10,4.85202878757e+20,1.33553459333e+21,7.03019995694e+16
7.10021768467e-10,4.71511454299e+20,1.25927950634e+21,6.34095646784e+16
7.20021768467e-10,4.51227428391e+20,1.16050218766e+21,5.53349155146e+16
7.30021768467e-10,4.24217432613e+20,1.04591008879e+21,4.69853444567e+16
7.40021768467e-10,3.89084774767e+20,9.1305195554e+20,3.81951944396e+16
7.50021768467e-10,3.83772517159e+20,8.4858727395e+20,3.25878981764e+16
7.60021768467e-10,3.36829364175e+20,6.94694241721e+20,2.41497652329e+16
7.70021768467e-10,2.89542893405e+20,5.52878395585e+20,1.72384043083e+16
7.80021768467e-10,2.67065648931e+20,4.6927537112e+20,1.30314754969e+16
7.90021768467e-10,2.20661533032e+20,3.53685584723e+20,8.65246962885e+15
8.00021768467e-10,1.83872205968e+20,2.70475032469e+20,5.86847715966e+15
8.10021768467e-10,1.63217889927e+20,2.18936798106e+20,4.18002161116e+15
8.20021768467e-10,1.31187878626e+20,1.59740940156e+20,2.67076063328e+15
8.30021768467e-10,1.15561308606e+20,1.27779076239e+20,1.87058460788e+15
8.40021768467e-10,1.0038736355e+20,1.00368546457e+20,1.27756606813e+15
8.50021768467e-10,7.91678305153e+19,7.10104375527e+19,7.78725155468e+14
8.60021768467e-10,6.85229327006e+19,5.52784830932e+19,5.23857803607e+14
8.70021768467e-10,5.23771547826e+19,3.76347813458e+19,3.04404350304e+14
8.80021768467e-10,4.53110567655e+19,2.9307991201e+19,2.05129324778e+14
8.90021768467e-10,3.87265295211e+19,2.24327364967e+19,1.34834727903e+14
9.00021768467e-10,2.99061187603e+19,1.54467718372e+19,7.95426284446e+13
9.10021768467e-10,2.5657054008e+19,1.18848933733e+19,5.26572846759e+13
9.20021768467e-10,2.17877882179e+19,9.02092705074e+18,3.42605296759e+13
9.30021768467e-10,1.85696251425e+19,6.87162361903e+18,2.23769804755e+13
9.40021768467e-10,1.46037980212e+19,4.83541674606e+18,1.3500783415e+13
9.50021768467e-10,1.23584366019e+19,3.64634212067e+18,8.68331471746e+12
9.60021768467e-10,1.03533978664e+19,2.70678830419e+18,5.45092261565e+12
9.70021768467e-10,8.20366395624e+18,1.91474819703e+18,3.29098801094e+12
9.80021768467e-10,6.82305288429e+18,1.40651370169e+18,2.03233854394e+12
9.90021768467e-10,5.58534065302e+18,1.00928684741e+18,1.2113035422e+12
1.00002176847e-09,4.60327991119e+18,7.31799342128e+17,732372426267.0
1.01002176847e-09,3.79158698739e+18,5.30811435991e+17,443663059267.0
1.02002176847e-09,3.12972832414e+18,3.86449953624e+17,269668638672.0
1.03002176847e-09,2.43218749729e+18,2.64245459413e+17,153345369598.0
1.04002176847e-09,1.96274330985e+18,1.86070139532e+17,88537374803.7
1.05002176847e-09,1.60413909895e+18,1.33496214696e+17,52509315507.2
1.06002176847e-09,1.29901612499e+18,9.4665491407e+16,30603412465.9
1.07002176847e-09,1.03358706768e+18,6.53231102523e+16,17094229624.1
1.08002176847e-09,8.50426754895e+17,4.74024277473e+16,10279085275.7
1.09002176847e-09,6.87191176148e+17,3.36233526344e+16,5990079862.51
1.10002176847e-09,5.47160915414e+17,2.32835681072e+16,3354424676.8
1.11002176847e-09,4.10013955313e+17,1.51185335645e+16,1748062548.98
1.12002176847e-09,3.35595116107e+17,1.09191090268e+16,1040074329.53
