Thermal energy in gas after shock = 1174.71012745J
Max gas P / Pf = 66259.7246064

t (s),E (J),alpha
6.2e-10,111.847761257,9675.63314464
6.3e-10,199.787994315,11786.2095717
6.4e-10,199.787995369,11786.2095717
6.5e-10,254.706706625,15235.8912295
6.6e-10,256.444183312,20558.9730013
6.7e-10,337.029787045,18120.7730445
6.8e-10,353.356998334,27451.9778607
6.9e-10,403.581915439,25907.6901297
7e-10,440.023696879,35114.6130813
7.1e-10,505.667086764,34829.9116541
7.2e-10,614.308557309,44283.857336
7.3e-10,861.966969467,39680.8767186
7.4e-10,797.15330009,47318.5921306
7.5e-10,1036.49743729,42553.2858522
7.6e-10,948.553907359,53199.0749828
7.7e-10,1005.86175135,51980.3417881
7.8e-10,1041.19760767,59406.2993358
7.9e-10,1013.95761582,62059.7227382
8e-10,1124.93322219,59536.9392267
8.1e-10,1113.84124872,62544.8103741
8.2e-10,1093.469987,64758.6472062
8.3e-10,1155.79337658,62014.2509751
8.4e-10,1098.45605279,64620.4516189
8.5e-10,1174.71012745,62638.2074712
8.6e-10,1075.63286861,64547.686668
8.7e-10,1028.49393045,66259.7246064
8.8e-10,1019.55385467,64784.1792394
8.9e-10,1078.67723324,57395.3051867
9e-10,1010.69268069,63567.6632202
9.1e-10,967.17882906,60885.7651761
9.2e-10,885.296411643,62784.2757261
9.3e-10,860.054784867,59172.0786394
9.4e-10,746.3074788,60780.9068485
9.5e-10,748.468585278,56363.2711336
9.6e-10,678.281682309,57539.4370925
9.7e-10,705.275147427,49977.3157195
9.8e-10,617.411182951,55355.9337265
9.9e-10,640.952876338,47938.7168162
1e-09,557.736723432,50613.5971122
1.01e-09,576.736877495,48102.2630125
1.02e-09,520.206107036,50078.6161435
1.03e-09,541.018874514,43319.2018832
1.04e-09,496.79065522,50401.1118585
1.05e-09,494.204508938,47553.508956
1.06e-09,479.268423623,50586.1788444
1.07e-09,498.302762584,42502.8740655
1.08e-09,458.787457189,49787.8614727
1.09e-09,467.559243143,41764.2276835
1.1e-09,433.899373078,48097.9786852
1.11e-09,459.550546666,43800.2821051
1.12e-09,405.026084047,45641.9881813
1.13e-09,429.854473168,36425.638762
1.14e-09,389.109175706,37389.7225155
1.15e-09,389.137552224,37880.4559117
1.16e-09,356.211717923,38394.6323877
1.17e-09,366.369661224,29467.0965955
1.18e-09,332.99752397,29706.7147149
1.19e-09,320.017996921,30120.0870858
1.2e-09,302.933934785,30538.2358628
1.21e-09,296.94230791,30849.7281731
1.22e-09,263.494766497,31235.2889328
1.23e-09,258.375137229,31556.0107381
1.24e-09,240.361353025,32004.5706846
1.25e-09,235.985734199,32340.0612824
1.26e-09,219.483216899,32779.4618234
1.27e-09,216.205200102,33065.9843896
1.28e-09,200.931464646,33529.3903112
1.29e-09,191.614281082,33936.6501463
1.3e-09,184.41212647,34291.0384647
1.31e-09,182.506410976,34571.6652724
1.32e-09,169.791634556,35050.6214168
1.33e-09,168.589242626,35292.9508877
1.34e-09,156.423419508,35803.5015041
1.35e-09,150.463962652,36185.2518098
1.36e-09,144.625466619,36542.6029977
1.37e-09,141.857232614,36863.8412025
1.38e-09,134.118176554,37288.7541204
1.39e-09,133.743958024,37705.9178487
1.4e-09,129.320599202,38080.531894
1.41e-09,126.687246794,38378.8249059
1.42e-09,120.144647904,38807.1597252
1.43e-09,121.209778294,39188.9514466
1.44e-09,116.00998645,39561.0321503
1.45e-09,113.225200948,39864.8578211
1.46e-09,111.951027127,40293.7644242
1.47e-09,109.478067323,40581.3493683
1.48e-09,104.621005881,40961.611685
1.49e-09,111.712079026,41049.9972484
1.5e-09,101.100575912,41660.9281808
1.51e-09,107.73245126,41746.0945575
1.52e-09,97.800768202,42336.0693127
1.53e-09,98.899453317,42635.4216114
1.54e-09,94.6178717486,42993.5165468
1.55e-09,100.453104158,43070.2671346
1.56e-09,91.430249165,43632.1709329
1.57e-09,96.9046913357,43705.8720586
1.58e-09,88.474392475,44246.264881
1.59e-09,93.6210307569,44317.9744852
1.6e-09,88.1142739854,44864.4428086
1.61e-09,90.56046625,44898.8493281
1.62e-09,85.1755011276,45412.1558423
1.63e-09,89.8212619978,45477.5989893
1.64e-09,84.4907906137,45950.1143711
1.65e-09,86.6962006998,45981.4939295
1.66e-09,81.6161294821,46443.1914062
1.67e-09,85.8085125236,46501.8631608
1.68e-09,80.8671383144,46930.5937643
1.69e-09,84.8846119592,46988.4814803
1.7e-09,78.1842462664,47377.8102978
1.71e-09,81.9779874978,47432.2558884
1.72e-09,77.4350345721,47833.1696226
1.73e-09,81.0764811196,47885.997632
1.74e-09,76.521064939,48286.2443314
1.75e-09,80.0112441409,48337.845013
1.76e-09,75.6874234995,48751.3423069
1.77e-09,79.0392308689,48801.8429047
1.78e-09,74.9608674505,49204.1272669
1.79e-09,78.1872169103,49253.4640553
1.8e-09,75.7124601311,49677.4116967
1.81e-09,76.2539630118,51543.7760406
1.82e-09,73.5164858214,50909.2989943
1.83e-09,74.0446277043,52542.9223209
1.84e-09,71.3740035183,51932.3507281
1.85e-09,71.8880574749,53360.0920863
1.86e-09,69.5439830535,53406.7754624
1.87e-09,70.0434387001,54664.4795575
1.88e-09,67.7353391094,54027.2587517
1.89e-09,68.4596224999,55688.5621179
1.9e-09,66.2279394281,55031.635866
1.91e-09,66.695155554,56004.2027307
1.92e-09,64.5875102181,55818.5604495
1.93e-09,65.0412474252,56669.2937255
1.94e-09,63.0010784225,56071.8677282
1.95e-09,63.6600522847,57187.4465043
1.96e-09,61.5166723746,56592.2150157
1.97e-09,62.1570879323,57560.0609583
1.98e-09,60.1144935987,56983.8800564
