t (s),DD (1/s),D3He (1/s),3He3He (1/s)
4e-10,1.89368481515e+18,1.09241154772e+17,28366199862.7
4.1e-10,2.29303706369e+18,1.41019605744e+17,42321368463.9
4.2e-10,2.72773026176e+18,1.79517654054e+17,63132418967.2
4.3e-10,2.50473933299e+18,1.67362236569e+17,56280514796.0
4.4e-10,2.99037812715e+18,2.13644883691e+17,83632663839.9
4.5e-10,3.12160902229e+18,2.53911515206e+17,122454150031.0
4.6e-10,3.68935763111e+18,3.2275497881e+17,184714782910.0
4.7e-10,4.31957009576e+18,4.08074530229e+17,280816782657.0
4.8e-10,4.15571012899e+18,3.98295302501e+17,255151131392.0
4.9e-10,4.90671398214e+18,5.08672512576e+17,389090136979.0
5e-10,5.21233699873e+18,6.21677890779e+17,594563412346.0
5.1e-10,6.14416501858e+18,7.99422126517e+17,930262646997.0
5.2e-10,7.21436281853e+18,1.0306917817e+18,1.47793572074e+12
5.3e-10,7.79369783281e+18,1.29979165316e+18,2.38518963054e+12
5.4e-10,9.16388328302e+18,1.69427942107e+18,3.901103866e+12
5.5e-10,1.0054039442e+19,2.20192227099e+18,6.62127506508e+12
5.6e-10,1.20356912276e+19,3.01823131347e+18,1.19245474495e+13
5.7e-10,1.49429896922e+19,5.0009076269e+18,4.07922913507e+13
5.8e-10,1.72600771987e+19,7.41014490258e+18,8.74767552452e+13
5.9e-10,2.21117369106e+19,1.42920769119e+19,4.58403693335e+14
6e-10,0.0,0.0,0.0
6.1e-10,4.87430378001e+19,4.54484114981e+20,2.92369613788e+17
6.2e-10,4.17005031075e+19,2.7627786062e+20,9.20836472637e+16
6.3e-10,3.65714035103e+19,1.81971044748e+20,4.36209765142e+16
6.4e-10,6.47946572055e+19,2.69223994821e+20,4.04418532978e+16
6.5e-10,1.15243455728e+20,4.04735760262e+20,4.15708600583e+16
6.6e-10,7.51734741248e+19,2.4830605237e+20,2.50790422984e+16
6.7e-10,9.61712910227e+19,2.71646705377e+20,2.11969738942e+16
6.8e-10,1.0098071603e+20,2.440471395e+20,1.63022486466e+16
6.9e-10,1.66736250966e+20,3.37673080103e+20,1.6249616586e+16
7e-10,1.23453210283e+20,2.47216361181e+20,1.20574268686e+16
7.1e-10,1.31739493426e+20,2.31140376768e+20,9.97679383104e+15
7.2e-10,2.00568345549e+20,2.99423571097e+20,9.82041890921e+15
7.3e-10,1.20893620673e+20,1.926585426e+20,7.48342400411e+15
7.4e-10,1.78221862022e+20,2.33284932983e+20,7.00555083776e+15
7.5e-10,2.60135597218e+20,2.9714361108e+20,6.94666756848e+15
7.6e-10,1.71485725164e+20,1.99664116515e+20,5.22498671814e+15
7.7e-10,1.28933337661e+20,1.60989132146e+20,4.40086693507e+15
7.8e-10,1.17745115075e+20,1.43863618615e+20,3.82675570693e+15
7.9e-10,1.08208888233e+20,1.29524533636e+20,3.35554467205e+15
8e-10,7.67030085738e+19,9.9855888472e+19,2.81536868704e+15
8.1e-10,7.13508086054e+19,9.11933570625e+19,2.50523692723e+15
8.2e-10,5.01314767737e+19,7.03362581452e+19,2.11762865617e+15
8.3e-10,4.73528037086e+19,6.61068374706e+19,2.00754278309e+15
8.4e-10,4.45191920388e+19,6.1074459156e+19,1.80175615801e+15
8.5e-10,3.08133486695e+19,4.68878488026e+19,1.52337078826e+15
8.6e-10,2.91278804367e+19,4.36107089569e+19,1.37892452123e+15
8.7e-10,1.95408788913e+19,3.27986110055e+19,1.15720518646e+15
8.8e-10,1.85489308001e+19,3.0663370183e+19,1.0542837871e+15
8.9e-10,1.76396901647e+19,2.87356117153e+19,9.63840496826e+14
9e-10,1.13389341197e+19,2.09625575099e+19,7.9769338946e+14
9.1e-10,1.08138903452e+19,1.97163566411e+19,7.32852321903e+14
9.2e-10,6.53076186193e+18,1.36917197202e+19,5.88558986192e+14
9.3e-10,6.23949071951e+18,1.29080276197e+19,5.42473906555e+14
9.4e-10,6.36750082552e+18,1.31807554433e+19,5.46018419223e+14
9.5e-10,3.65049727708e+18,8.71109759236e+18,4.19751918661e+14
9.6e-10,3.4744653101e+18,8.17691693359e+18,3.85568302702e+14
9.7e-10,1.79790599582e+18,4.85864147094e+18,2.70478015132e+14
9.8e-10,1.70229429599e+18,4.54115980546e+18,2.479532587e+14
9.9e-10,1.61393964772e+18,4.25162035114e+18,2.27874431049e+14
1e-09,5.07199898416e+17,1.62905947006e+18,1.14975198691e+14
1.01e-09,4.81625994625e+17,1.52898825811e+18,1.06006588289e+14
1.02e-09,9.59334869631e+16,3.9167410359e+17,3.91154989575e+13
1.03e-09,9.11120129293e+16,3.68057663966e+17,3.61402458972e+13
1.04e-09,8.66692509002e+16,3.46383315106e+17,3.34119636592e+13
1.05e-09,5.39626460756e+15,3.13810732429e+16,5.4658529015e+12
1.06e-09,5.10475209607e+15,2.93973425873e+16,5.03154173971e+12
1.07e-09,0.0,0.0,0.0
1.08e-09,0.0,0.0,0.0
1.09e-09,0.0,0.0,0.0
1.1e-09,0,0,0
1.11e-09,0,0,0
