r (cm),u (cm/s),cs (cm/s),rho (g/cc),T (keV),P (GBar),Ion MFP (cm),tau_ii (s),LogL,Debye Length (cm),Smoothed ni (1/cc),Smoothed Ti (keV)
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.002,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.008,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.009,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.011,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.012,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
0.014,65046744.082,49133598.3355,0.0119713959814,6.25511264829,0.0722506814084,0.00044754396293907706,1.16622403223e-10,9.571470581440348,0.0,2.88373785329e+21,6.25511264829
0.015,60597085.0496,46889820.3661,0.0134079233632,5.69685454395,0.073698502868,0.0004228899282002533,9.24024740631e-11,9.374763634001248,0.0,3.22977672751e+21,5.69685454395
0.016,59637022.9746,45101323.8743,0.0138605811453,5.27055771074,0.0704855395488,0.0004159272565347059,8.0687702674e-11,9.241635132963125,0.0,3.33881550483e+21,5.27055771074
0.017,56416717.5867,43615711.4362,0.0148290408592,4.92905784273,0.0705243337761,0.0004021162005623163,6.92128271271e-11,9.107495594371246,0.0,3.57210358091e+21,4.92905784273
0.018,53718234.5435,42345827.2081,0.0156517881498,4.64621427761,0.0701657564682,0.000391404776115335,6.07832474779e-11,8.991947051376567,0.0,3.77029162091e+21,4.64621427761
0.019,51399660.135,41223308.7827,0.0163570440136,4.40315210058,0.0694913143266,0.00038287383661867814,5.42776948989e-11,8.889392099473916,0.0,3.94017765875e+21,4.40315210058
0.02,49376537.6002,40212221.2061,0.0169681384559,4.18980797245,0.068594664106,0.00037591616519480695,4.90787720257e-11,8.796624219384176,0.0,4.08738155861e+21,4.18980797245
0.021,47589967.0355,39290003.4598,0.0175025567611,3.9998354674,0.0675469334776,0.00037013261365310913,4.48143959034e-11,8.711579377677603,0.0,4.2161152751e+21,3.9998354674
