t (s),rs (cm),us (cm/s),rFF (cm),rShell (cm)
5.13152350841e-11,0.04299999999999999,53947807.36173227,0.043,0.043
6.13152350841e-11,0.0424589776334456,54257912.840499036,0.0425957423775,0.0425949734591
7.13152350841e-11,0.041914816265321696,54575662.35204887,0.042191484755,0.0421891391608
8.13152350841e-11,0.04136743778056289,54901394.34498608,0.0417872271325,0.0417825029052
9.13152350841e-11,0.04081676057166855,55235469.1553832,0.04138296951,0.0413750744204
1.01315235084e-10,0.04026269931058894,55578270.88641398,0.0409787118875,0.0409668574667
1.11315235084e-10,0.039705164700821104,55930209.49088787,0.040574454265,0.0405578616691
1.21315235084e-10,0.03914406320755585,56291723.08325245,0.0401701966425,0.0401480953821
1.31315235084e-10,0.03857929676343136,56663280.51174571,0.03976593902,0.0397375768063
1.41315235084e-10,0.038010762447118804,57045384.22623546,0.0393616813975,0.0393263082977
1.51315235084e-10,0.03743835213158163,57438573.48303125,0.038957423775,0.0389143050299
1.61315235084e-10,0.036861952098404704,57843427.93478325,0.0385531661525,0.0385015819195
1.71315235084e-10,0.0362814426140683,58260571.66172542,0.03814890853,0.0380881543913
1.81315235084e-10,0.03569669746343258,58690677.710267246,0.0377446509075,0.0376740377337
1.91315235084e-10,0.03510758343498096,59134473.21665091,0.0373403932851,0.0372592503759
2.01315235084e-10,0.034513959751525526,59592745.207525715,0.0369361356626,0.0368438114373
2.11315235084e-10,0.03391567743907616,60066347.18642293,0.0365318780401,0.0364277407363
2.21315235084e-10,0.03331257862538415,60556206.635973595,0.0361276204176,0.0360110595648
2.31315235084e-10,0.03270449575824965,61063333.59123127,0.0357233627951,0.0355937911482
2.41315235084e-10,0.032091250731977244,61588830.47084117,0.0353191051726,0.0351759627387
2.51315235084e-10,0.03147265390830929,62133903.39158583,0.0349148475501,0.034757604616
2.61315235084e-10,0.03084850301567941,62699875.240053535,0.0345105899276,0.0343387476055
2.71315235084e-10,0.03021858190760072,63288200.83546349,0.0341063323051,0.0339194250525
2.81315235084e-10,0.02958265915729877,63900484.59353167,0.0337020746826,0.0334996746443
2.91315235084e-10,0.028940486461138903,64538501.19731984,0.0332978170601,0.0330795366834
3.01315235084e-10,0.028291796817751232,65204219.903508246,0.0328935594376,0.0326588000159
3.11315235084e-10,0.02763630244271828,65899833.26990258,0.0324893018151,0.0322327873237
3.21315235084e-10,0.026973692369858096,66627791.29374631,0.0320850441926,0.0317993678792
3.31315235084e-10,0.026303629678969525,67390842.2164429,0.0316807865701,0.0313590670393
3.41315235084e-10,0.025625748275680083,68192081.6007392,0.0312765289476,0.0309175320361
3.51315235084e-10,0.024939649130758086,69035011.75247923,0.0308722713251,0.0304758671228
3.61315235084e-10,0.024244895862555668,69923614.18520822,0.0304680137026,0.0300340881429
3.71315235084e-10,0.023541009515234194,70862438.67647631,0.0300637560801,0.029592241472
3.81315235084e-10,0.022827462344404616,71856713.63382289,0.0296594984576,0.0291503849649
3.91315235084e-10,0.022103670366953966,72912484.11610775,0.0292552408351,0.0287085839878
4.01315235084e-10,0.02136898435755603,74036786.15359052,0.0288509832126,0.028266929903
4.11315235084e-10,0.020622678872471666,75237869.30312063,0.0284467255901,0.0278254804983
4.21315235084e-10,0.019863938739426566,76525484.1725468,0.0280424679676,0.0273843559583
4.31315235084e-10,0.01909184225181152,77911258.76634352,0.0276382103451,0.0269436610523
4.41315235084e-10,0.018305340016865953,79409198.2774087,0.0272339527226,0.026503501765
4.51315235084e-10,0.017503227984107868,81036359.61973542,0.0268296951001,0.0260640036485
4.61315235084e-10,0.016684112545533484,82813778.43528458,0.0264254374777,0.0256252964425
4.71315235084e-10,0.015846364624225177,84767769.41818748,0.0260211798552,0.0251875227418
4.81315235084e-10,0.014988058129185942,86931793.32899667,0.0256169222327,0.0247508367652
4.91315235084e-10,0.014106885648358807,89349210.53684087,0.0252126646102,0.0243154048352
5.01315235084e-10,0.013200040022171575,92077470.70387994,0.0248084069877,0.0238814074908
5.11315235084e-10,0.012264042996431234,95194726.24063241,0.0244041493652,0.0234490404514
5.21315235084e-10,0.011294488392164119,98810740.90655999,0.0239998917427,0.023018515315
5.31315235084e-10,0.0102856402386232,103085874.08188155,0.0235956341202,0.0225900611674
5.41315235084e-10,0.009229769393628543,108266407.20623001,0.0231913764977,0.022163926311
5.51315235084e-10,0.00811598065466651,114756202.94585115,0.0227871188752,0.0217403765032
5.61315235084e-10,0.006927939966867491,123279935.26032482,0.0223828612527,0.0213197008815
5.71315235084e-10,0.005638860557173625,135321967.662229,0.0219786036302,0.0209022193665
5.81315235084e-10,0.0041979766339713545,154660931.9571954,0.0215743460077,0.0204882720879
5.91315235084e-10,0.0024773971574513047,196365782.1209849,0.0211700883852,0.020078247434
6.01315235084e-10,0.0004999477597896452,261667319.434224,0.0207658307627,0.0196951675253
6.11315235084e-10,0.0021995103626466614,133810648.40318094,0.0203615731402,0.0193374902165
6.21315235084e-10,0.003401330127359002,109846671.82100397,0.0199573155177,0.0189835585853
6.31315235084e-10,0.00443254719944532,97437456.01650585,0.0195530578952,0.0186337595109
6.41315235084e-10,0.005364176204563726,89376028.19348541,0.0191488002727,0.0182884931807
6.51315235084e-10,0.0062273667009959165,83538440.04817377,0.0187445426502,0.0179481761579
6.61315235084e-10,0.00703933137463933,79029867.94435829,0.0183402850277,0.01761326533
6.71315235084e-10,0.007810857605501306,75395364.70900995,0.0179360274052,0.0172842433427
6.81315235084e-10,0.008549273758636023,72374494.9379129,0.0175317697827,0.0169616477698
6.91315235084e-10,0.009259847470135854,69805370.32644151,0.0171275121602,0.016646060988
7.01315235084e-10,0.009946526985448727,67581052.74650146,0.0167232545377,0.0163381196778
7.11315235084e-10,0.010612368877575818,65627517.04585573,0.0163189969152,0.0160385302577
7.21315235084e-10,0.01125980115246733,63891578.92627223,0.0159147392927,0.0157480695241
7.31315235084e-10,0.011890793459582022,62333851.791563906,0.0155104816703,0.0154675976717
7.41315235084e-10,0.012506971784518841,60924423.55491916,0.0151062240478,0.0151980972227
7.51315235084e-10,0.013109698377393208,59640089.538993314,0.0147019664253,0.0149406885684
7.61315235084e-10,0.01370012905287646,58462518.01636724,0.0142977088028,0.0146966726739
7.71315235084e-10,0.014279255271619233,57376997.084068246,0.0138934511803,0.0144676006684
7.81315235084e-10,0.014847935695788553,56371556.25408813,0.0134891935578,0.0144155061325
7.91315235084e-10,0.015406920285656957,55436336.691000976,0.0130849359353,0.0144155061325
8.01315235084e-10,0.01595686899716604,54563130.68248433,0.0126806783128,0.0145023784378
8.11315235084e-10,0.016498366497590632,53745038.89930667,0.0122764206903,0.0146050760977
8.21315235084e-10,0.017031933895118805,52976211.286431484,0.0118721630678,0.0147025660675
8.31315235084e-10,0.017558038195464927,52251648.39920484,0.0114679054453,0.0147954036546
8.41315235084e-10,0.018077100004925455,51567047.132575184,0.0110636478228,0.0148840562794
8.51315235084e-10,0.018589499864032855,50918679.53059169,0.0106593902003,0.0149689192063
8.61315235084e-10,0.01909558349990137,50303296.5737006,0.0102551325778,0.0150503355469
8.71315235084e-10,0.019595666216068373,49718051.054654285,0.0098508749553,0.0151286015189
8.81315235084e-10,0.020090036587945545,49160435.20456771,0.00944661733281,0.0152039754648
8.91315235084e-10,0.020578959594428972,48628229.833304316,0.00904235971031,0.0152766857716
9.01315235084e-10,0.021062679288044596,48119462.5431302,0.00863810208782,0.0153469286874
9.11315235084e-10,0.021541421084644644,47632373.1546305,0.00823384446532,0.0154148836509
9.21315235084e-10,0.02201539373730765,47165384.91217485,0.00782958684282,0.0154807072303
9.31315235084e-10,0.022484791046442562,46717080.355875924,0.00742532922033,0.0155445428267
9.41315235084e-10,0.022949793348227387,46286180.98796496,0.00702107159783,0.0156065166476
9.51315235084e-10,0.023410568815749804,45871530.04488334,0.00661681397533,0.0156667451767
9.61315235084e-10,0.023867274601064685,45472077.82715391,0.00621255635284,0.0157253318643
9.71315235084e-10,0.024320057841471475,45086869.14804352,0.00580829873034,0.0157823726495
9.81315235084e-10,0.024769056549366904,44715032.547001064,0.00540404110785,0.0158379539491
9.91315235084e-10,0.025214400401835164,44355770.98061278,0.00499978348535,0.0158921565555
1.00131523508e-09,0.025656211443539363,44008353.75662285,0.00459552586285,0.0159450511339
1.01131523508e-09,0.026094604714351724,43672109.518608816,0.00419126824036,0.0159967048563
1.02131523508e-09,0.026529688811410126,43346420.12257824,0.00378701061786,0.016047180842
1.03131523508e-09,0.026961566393842114,43030715.27388515,0.00338275299536,0.0160965347439
1.04131523508e-09,0.027390334637194858,42724467.81484619,0.00297849537287,0.0161448206164
1.05131523508e-09,0.02781608564360607,42427189.57133617,0.00257423775037,0.0161920875907
1.06131523508e-09,0.0282389068129093,42138427.68129342,0.00216998012788,0.0162383805941
1.07131523508e-09,0.02865888117915844,41857761.3401115,0.00176572250538,0.0162837432918
1.08131523508e-09,0.029076087716457446,41584798.90784554,0.00136146488288,0.0163282149562
1.09131523508e-09,0.029490601617473085,41319175.331416085,0.000957207260387,0.0163718327283
1.10131523508e-09,0.029902494547575705,41060549.84187084,0.00055294963789,0.0164146319706
1.11131523508e-09,0.030311834877183377,40808603.89251498,0.000148692015394,0.0164566448805
